BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Albany Park,3401 W. Foster Ave.,Chicago,60625,10405,10594,11498,10867,10395,11171,11532,11387,11534,11677,9741,9454,130255,2019
Altgeld,13281 S. Corliss Ave.,Chicago,60827,2083,2358,2380,2127,2247,2484,2578,2512,2462,2678,2014,2273,28196,2019
Archer Heights,5055 S. Archer Ave.,Chicago,60632,6378,7521,7809,7824,7162,6952,7835,7536,6908,8219,6679,5770,86593,2019
Austin,5615 W. Race Ave.,Chicago,60644,4878,5391,5655,5378,5178,5895,7399,7962,6299,7604,8128,7713,77480,2019
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,8003,8879,9627,8853,9172,9897,10441,10110,9031,10054,8060,6953,109080,2019
Avalon,8148 S. Stony Island Ave.,Chicago,60617,7925,8093,8748,11392,8896,7870,9318,9045,8389,10385,7523,7078,104662,2019
Back of the Yards,2111 W. 47th St.,Chicago,60609,3382,3235,3990,3864,4310,3670,4447,4243,3801,4173,3007,2867,44989,2019
Beverly,1962 W. 95th St.,Chicago,60643,5727,6496,6627,6492,7135,6496,6890,6275,6777,7333,6761,3327,76336,2019
Bezazian,1226 W. Ainslie St.,Chicago,60640,9666,8634,9543,10704,10433,10540,11867,12265,9769,11981,9164,7005,121571,2019
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7440,6986,8107,8534,7677,8143,9601,8850,7733,7779,7112,6396,94358,2019
Brainerd,1350 W. 89th St.,Chicago,60620,5057,6719,5235,6594,6380,7204,4534,4690,3680,4456,3039,2439,60027,2019
Brighton Park,4314 S. Archer Ave.,Chicago,60632,4444,4593,4480,5680,4161,4514,5194,5142,4223,5799,4107,3349,55686,2019
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,10961,10580,13487,10603,8590,10533,11950,11519,9416,10659,10384,9460,128142,2019
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,9917,11174,11358,10868,9672,10735,11979,11038,9372,10725,9318,8893,125049,2019
Canaryville,642 W. 43rd St.,Chicago,60609,2614,2956,3515,3195,3186,3617,3931,3467,3130,3435,3129,2748,38923,2019
Chicago Bee,3647 S. State St.,Chicago,60609,1585,1742,1957,2287,2114,2335,2184,1920,1720,2296,1925,1643,23708,2019
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,5247,6273,5315,5792,5304,6077,7165,8598,4600,0,0,0,54371,2019
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,16716,21237,24670,22875,23898,22703,24518,26210,22446,24910,21183,20148,271514,2019
Clearing,6423 W. 63rd Pl.,Chicago,60638,4283,5259,5385,5196,4787,4777,6062,5700,4742,185,1552,3740,51668,2019
Coleman,731 E. 63rd St.,Chicago,60637,6123,6834,6745,7398,6891,6603,8386,7985,0,4517,6031,6884,74397,2019
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,4550,4650,5042,5536,5059,4988,5952,5590,4853,5618,4720,4105,60663,2019
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,9216,10480,10319,9572,8927,8959,9283,11059,8526,9535,8850,11435,116161,2019
Douglass,3353 W. 13th St.,Chicago,60623,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
Dunning,7455 W. Cornelia Ave.,Chicago,60634,7777,8684,8650,8425,9254,9519,10353,9049,10065,8865,6802,6816,104259,2019
Edgebrook,5331 W. Devon Ave.,Chicago,60646,7241,8130,8517,8361,7260,8955,9688,9171,7282,8610,7074,6716,97005,2019
Edgewater,6000 N. Broadway St.,Chicago,60660,11504,17381,19171,20253,15847,16459,18370,17216,15906,17014,14596,13328,197045,2019
Gage Park,2807 W. 55th St.,Chicago,60632,2111,1979,2000,2177,2185,2569,3111,2967,2435,3834,2256,2082,29706,2019
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,1597,1444,1725,2061,1722,1923,3067,1882,1510,1596,1129,807,20463,2019
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4500,4904,5803,5559,5099,5850,7855,6865,5307,7239,6105,5042,70128,2019
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,4541,6664,7689,7662,7828,6828,4125,3715,6132,4111,4940,5763,69998,2019
Hall,4801 S. Michigan Ave.,Chicago,60615,5040,7987,7226,5947,4439,5110,6350,5452,5026,5833,4891,4583,67884,2019
Harold Washtington Library Center,400 S. State St.,Chicago,60605,103099,103013,121131,130849,114792,116673,119738,116332,107200,128546,102895,141696,1405964,2019
Hegewisch,3048 E. 130th St.,Chicago,60633,3316,3462,3985,3766,3153,2999,3147,2971,2941,3366,2956,2685,38747,2019
Humboldt Park,1605 N. Troy St.,Chicago,60647,5224,9661,7993,7773,6737,6220,6957,6630,5617,6141,5104,4489,78546,2019
Independence,4024 N. Elston Ave.,Chicago,60618,1370,6593,7220,6917,5745,7940,7363,7810,6034,6929,6349,4782,75052,2019
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,3918,0,0,0,0,0,0,0,0,0,0,2190,6108,2019
Jeffery Manor,2401 E. 100th St.,Chicago,60617,4733,6392,5537,5750,5473,5423,4722,4233,4210,4508,3242,3259,57482,2019
Kelly,6151 S. Normal Blvd.,Chicago,60621,4435,4047,4547,4983,5075,5598,7550,6978,5805,6778,4742,4809,65347,2019
King,3436 S. King Dr.,Chicago,60616,3695,4217,3618,3429,2261,2438,2503,2578,2107,2298,3362,2684,35190,2019
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,6386,6630,7195,6949,7489,4550,11452,11899,9477,0,0,0,72027,2019
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,11415,11059,13860,13440,12697,13591,15408,14672,12394,14886,12402,10364,156188,2019
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,9854,13476,14077,11767,9822,10961,12604,11804,10455,11912,10723,9969,137424,2019
Little Italy,1336 W. Taylor St.,Chicago,60607,0,4816,11303,11381,11304,11502,12663,12261,10363,12198,10555,9705,118051,2019
Little Village,2311 S. Kedzie Ave.,Chicago,60623,6716,7025,7467,7492,6809,5966,8116,7093,5779,7695,5774,4757,80689,2019
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10787,11189,12731,13085,12085,13409,15385,14070,12177,13592,11271,10749,150530,2019
Lozano,1805 S. Loomis St.,Chicago,60608,10057,9935,10745,12061,9690,9632,10214,10118,9436,11858,10613,9009,123368,2019
Manning,6 S. Hoyne Ave.,Chicago,60612,7361,7085,7814,7168,6320,6161,6978,6639,5923,8186,7512,7011,84158,2019
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,5148,5317,7870,3967,6344,6597,7460,7055,5982,10479,6336,5654,78209,2019
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,3625,4111,4350,4369,3606,3835,3371,4187,3903,4320,3900,3570,47147,2019
McKinley Park,1915 W. 35th St.,Chicago,60609,7154,8242,8220,8226,7968,9138,10614,8844,7834,8637,7739,6630,99246,2019
Merlo,644 W. Belmont Ave.,Chicago,60657,8108,11525,0,0,0,0,0,0,0,0,0,0,19633,2019
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,4670,4966,4987,5070,5094,5670,6647,3999,2293,3048,2614,2217,51275,2019
Near North,310 W. Division St.,Chicago,60610,10281,11897,11311,10963,10209,11213,12401,11582,10023,11624,9205,9447,130156,2019
North Austin,5724 W. North Ave.,Chicago,60639,3163,2591,2364,3658,3457,3369,4244,4556,3488,4209,3419,3439,41957,2019
North Pulaski,4300 W. North Ave.,Chicago,60639,3324,4141,5013,3923,3875,3948,4404,5103,3372,4093,3590,2932,47718,2019
Northtown,6800 N. Western Ave.,Chicago,60645,0,0,8377,10287,10443,10928,13805,13024,10819,12803,10329,3418,104233,2019
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,6053,7235,7352,6842,6241,6540,7478,6484,7282,7216,6509,6597,81829,2019
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,5687,7332,7091,3696,0,722,6029,5739,4948,3960,5244,4353,54801,2019
Pullman,11001 S. Indiana Ave.,Chicago,60628,3919,3820,4214,4370,3626,3985,4783,4638,4086,4430,3803,3696,49370,2019
Roden,6083 N. Northwest Hwy.,Chicago,60631,4319,11837,10835,6604,4550,5163,5669,5857,4441,5405,4277,1925,70882,2019
Rogers Park,6907 N. Clark St.,Chicago,60626,14708,12762,11756,12728,12520,12630,14204,14437,11482,13277,11192,10366,152062,2019
Scottsdale,4101 W. 79th St.,Chicago,60652,3407,3639,3388,4375,3744,3481,4237,3922,3503,4085,3692,3041,44514,2019
Sherman Park,5440 S. Racine Ave.,Chicago,60609,3089,3028,3313,3416,3445,3356,4989,4646,3469,4224,3209,2044,42228,2019
South Chicago,9055 S. Houston Ave.,Chicago,60617,6062,6279,7879,6299,6810,6856,6928,7793,7794,7790,6574,6029,83093,2019
South Shore,2505 E. 73rd St.,Chicago,60649,5613,5077,0,0,0,0,0,0,0,0,0,0,10690,2019
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,24368,23998,32223,30983,37357,29641,33583,32266,29043,29043,30883,25256,358644,2019
Toman,2708 S. Pulaski Rd.,Chicago,60623,6426,6954,7849,8025,6567,7071,10676,9234,7270,9047,5027,4428,88574,2019
Uptown,929 W. Buena Ave.,Chicago,60613,2827,8495,11025,11894,12081,11212,12847,12931,11159,12083,10504,9632,126690,2019
Vodak-East Side,3710 E. 106th St.,Chicago,60617,4782,5306,5703,4964,4831,4973,6037,4992,4643,6519,4837,2900,60487,2019
Walker,11071 S. Hoyne Ave.,Chicago,60643,2885,2896,3418,3325,3725,4001,3941,3563,3268,1731,0,0,32753,2019
West Belmont,3104 N. Narragansett Ave.,Chicago,60611,2099,6107,6601,6253,5345,5968,6061,5570,4909,5503,4104,3723,62243,2019
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60634,5513,5723,6113,5361,5921,1505,7290,7584,7329,8804,6452,6109,73704,2019
West Englewood,1745 W. 63rd St.,Chicago,60651,5708,5481,5904,5717,5555,5780,6270,6818,5744,6739,4684,4843,69243,2019
West Lawn,4020 W. 63rd St.,Chicago,60636,4032,4603,4727,5068,5002,5173,5857,7376,5870,6832,5152,5267,64959,2019
West Loop,122 N. Aberdeen St.,Chicago,60607,3323,7748,7628,7529,6881,6892,7895,7753,6520,7804,7554,6442,83969,2019
West Pullman,830 W. 119th St.,Chicago,60643,7373,8225,8535,9508,7508,6100,7248,7048,6296,6924,6154,6789,87708,2019
West Town,1625 W. Chicago Ave.,Chicago,60622,7861,7916,8861,8380,7901,7270,11701,9935,8172,9223,8235,7371,102826,2019
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,6599,6897,5449,6937,6943,6596,7538,6312,7118,7608,6857,7169,82023,2019
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,15153,21771,22059,18687,16703,17239,18549,16946,17550,19223,15232,15061,214173,2019
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,3740,2742,3248,3925,3401,4020,4994,4567,4462,4802,3880,3572,47353,2019
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,16492,16461,14015,0,0,2238,4817,5088,5260,5900,4322,3773,78366,2020
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,8004,7119,10619,0,0,1010,1639,2376,2541,1505,1988,1330,38131,2020
Northtown,6800 N. Western Ave.,Chicago,60645,0,13474,7864,0,0,5612,9002,9342,9046,7657,5881,6184,74062,2020
Dunning,7455 W. Cornelia Ave.,Chicago,60634,7328,7572,4237,0,0,3678,4873,6846,6185,5341,4086,4224,54370,2020
Bezazian,1226 W. Ainslie St.,Chicago,60640,9959,9130,6567,0,0,2147,2596,2802,2700,2787,2265,413,41366,2020
West Pullman,830 W. 119th St.,Chicago,60643,8338,7884,7611,0,0,649,1267,1529,1673,1966,1184,1160,33261,2020
Pullman,11001 S. Indiana Ave.,Chicago,60628,3775,3410,2215,0,0,725,2492,1654,0,0,1149,1729,17149,2020
Jeffery Manor,2401 E. 100th St.,Chicago,60617,3563,3191,2427,0,0,2145,2561,2678,3099,2876,1811,1697,26048,2020
Hall,4801 S. Michigan Ave.,Chicago,60615,4885,4729,6570,0,0,2322,2951,2806,2718,2974,406,0,30361,2020
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,3582,2222,1233,0,0,1267,1468,1437,1387,1709,1448,1455,17208,2020
Coleman,731 E. 63rd St.,Chicago,60637,6541,6593,4032,0,0,2399,3196,3624,3334,3692,3370,3356,40137,2020
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,7867,7380,4222,0,0,1972,2810,2823,5558,6360,2820,2737,44549,2020
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,3849,3526,2341,0,0,1371,1881,2190,1830,1750,1245,1355,21338,2020
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,6199,7924,4089,0,0,1579,2345,3327,3186,3231,2072,2055,36007,2020
Chicago Bee,3647 S. State St.,Chicago,60609,1905,2577,1414,0,0,527,479,540,590,612,506,523,9673,2020
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1319,4556,3103,0,0,2814,2295,2861,1889,1849,1912,2053,24651,2020
Sherman Park,5440 S. Racine Ave.,Chicago,60609,2698,2403,1780,0,0,1290,2118,2380,1611,755,1560,1612,18207,2020
Walker,11071 S. Hoyne Ave.,Chicago,60643,0,0,0,0,0,0,147,547,480,765,263,404,2606,2020
Albany Park,3401 W. Foster Ave.,Chicago,60625,9878,9473,5077,0,0,3188,4156,4566,4295,4272,3727,3567,52199,2020
Avalon,8148 S. Stony Island Ave.,Chicago,60617,8908,7616,4437,0,0,2713,3939,4140,3933,3899,3575,2083,45243,2020
Brainerd,1350 W. 89th St.,Chicago,60620,2455,2279,1522,0,0,707,494,600,686,726,559,580,10608,2020
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,7781,6343,3920,0,0,1616,2382,2927,3467,3263,3626,3289,38614,2020
Little Italy,1336 W. Taylor St.,Chicago,60607,10850,10504,3401,0,0,2996,3099,2300,2087,1240,2886,1570,40933,2020
Edgebrook,5331 W. Devon Ave.,Chicago,60646,7485,6533,4488,0,0,3775,5091,4750,4749,4559,2329,3798,47557,2020
Kelly,6151 S. Normal Blvd.,Chicago,60621,5448,5301,3274,0,0,360,610,857,736,814,664,582,18646,2020
Edgewater,6000 N. Broadway St.,Chicago,60660,15208,13339,16636,0,0,5031,7816,7342,5542,8189,5950,6397,91450,2020
Near North,310 W. Division St.,Chicago,60610,10765,9489,6197,0,0,4539,6207,6005,6181,6109,4796,4860,65148,2020
Canaryville,642 W. 43rd St.,Chicago,60609,2493,2555,1355,0,0,0,0,0,0,0,0,0,6403,2020
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,4565,4210,2989,0,0,1503,1887,2104,2298,2744,2211,1559,26070,2020
Manning,6 S. Hoyne Ave.,Chicago,60612,7161,6683,0,0,0,0,0,0,0,0,0,0,13844,2020
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,5365,5073,6851,0,0,1662,2497,3058,3013,3049,2182,2357,35107,2020
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,4210,3399,2046,0,0,673,1085,1150,1280,1521,1128,1043,17535,2020
Scottsdale,4101 W. 79th St.,Chicago,60652,3190,3210,2501,0,0,1742,2531,2536,2210,2710,1835,1935,24400,2020
Altgeld,13281 S. Corliss Ave.,Chicago,60827,2730,1809,1127,0,0,0,0,0,0,0,0,0,5666,2020
West Loop,122 N. Aberdeen St.,Chicago,60607,7440,6686,3575,0,0,2387,3372,3462,2902,3051,2424,2568,37867,2020
Back of the Yards,2111 W. 47th St.,Chicago,60609,3226,3246,1848,0,0,1643,1652,1810,1820,1870,1503,1398,20016,2020
Rogers Park,6907 N. Clark St.,Chicago,60626,11997,11407,6878,0,0,4655,7428,7724,9067,8118,3129,5314,75717,2020
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,5282,4928,3215,0,0,2448,2899,2941,2865,2957,2413,2337,32285,2020
King,3436 S. King Dr.,Chicago,60616,2904,3518,1960,0,0,65,1260,1438,1588,1585,1290,1294,16902,2020
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3816,4175,7177,0,0,1076,2310,2471,2451,3088,2186,1979,30729,2020
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,10899,11767,7358,0,0,5363,5653,5363,6430,7365,6105,6099,72402,2020
Humboldt Park,1605 N. Troy St.,Chicago,60647,4846,4760,6954,0,0,947,2441,3156,3432,4809,3148,2786,37279,2020
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,29483,27624,14313,0,0,9709,14281,14330,14172,15367,12640,13600,165519,2020
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7216,6828,3628,0,0,309,0,0,0,0,140,1954,20075,2020
North Austin,5724 W. North Ave.,Chicago,60639,3864,3893,1597,0,0,594,1260,1528,1448,1403,1192,1128,17907,2020
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,10069,9802,8101,0,0,3299,5719,6141,5455,5560,5100,5095,64341,2020
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,11563,11031,13002,0,0,4139,5547,5466,4993,6030,4960,5009,71740,2020
West Lawn,4020 W. 63rd St.,Chicago,60629,4880,4682,3255,0,0,538,891,1288,1391,1548,1055,1041,20569,2020
